009A13,044A02,044A03,044A11,044A15,044A09
0.02,0.01,0.01,0.01,3.13,70.09
0.02,0.01,0.01,0.01,3.16,91.56
0.03,0.02,0.01,0.01,3.07,96.18
0.04,0.02,0.01,0.01,3.14,80.77
0.05,0.02,0.01,0.01,3.11,95.65
0.05,0.03,0.02,0.01,3.08,84.04
0.06,0.05,0.02,0.01,3.09,77.19
0.06,0.05,0.02,0.01,3.14,70.09
0.07,0.06,0.03,0.02,3.21,74.78
0.07,0.06,0.05,0.02,3.16,65.26
0.07,0.07,0.05,0.02,3.16,63.27
0.08,0.07,0.06,0.03,3.18,53.37
0.08,0.07,0.06,0.05,3.01,62.3
0.08,0.08,0.07,0.05,3.15,53.33
0.08,0.08,0.07,0.06,3.17,51.23
0.08,0.08,0.07,0.06,3.22,41.97
0.08,0.08,0.08,0.07,3.18,35.77
0.08,0.2,0.08,0.07,3.2,40.77
0.08,0.21,0.08,0.07,3.18,52.59
0.08,0.19,0.08,0.08,3.07,65.82
0.07,0.15,0.2,0.08,3.12,54.73
0.06,0.13,0.21,0.08,3.21,47.02
0.06,0.15,0.23,0.08,3.07,36.55
0.05,0.16,0.23,0.2,3.17,26
0.04,0.14,0.21,0.19,3.22,13.22
0.04,0.15,0.18,0.18,3.26,14.81
0.04,0.2,0.17,0.15,3.11,30.49
0.05,0.23,0.18,0.13,3.17,31.51
0.04,0.19,0.18,0.14,3.17,63.73
0.05,0.13,0.17,0.15,3.22,36.51
0.05,0.13,0.18,0.14,3.23,39.31
0.05,0.16,0.21,0.15,3.22,70.99
0.05,0.16,0.24,0.17,3.15,54.35
0.04,0.18,0.21,0.2,3.18,32.75
0.04,0.2,0.16,0.18,3.18,27.03
0.04,0.21,0.16,0.14,3.11,43.32
0.05,0.24,0.17,0.13,3.21,58.16
0.06,0.25,0.18,0.14,3.11,59.26
0.06,0.25,0.19,0.14,3.08,59.46
0.05,0.24,0.21,0.16,3.21,59.93
0.05,0.24,0.23,0.18,3.21,70.71
0.05,0.24,0.26,0.19,3.16,68.58
0.06,0.23,0.28,0.21,3.15,58.27
0.06,0.25,0.28,0.22,3.15,80.45
0.06,0.23,0.26,0.22,3,71.62
0.06,0.24,0.26,0.22,3.12,52.23
0.06,0.24,0.26,0.21,3.11,35.89
0.07,0.24,0.26,0.21,3.18,48.78
0.07,0.23,0.28,0.21,3.08,59.73
0.07,0.24,0.27,0.24,3.22,77.18
0.02,0.01,0.01,0.01,3.15,5.1
0.02,0.01,0.01,0.01,3.15,2.65
0.03,0.02,0.01,0.01,3.11,21.45
0.04,0.02,0.01,0.01,3.18,10.44
0.05,0.02,0.01,0.01,3.06,12.6
0.05,0.03,0.02,0.01,3.11,4.16
0.06,0.05,0.02,0.01,3.09,59.52
0.06,0.05,0.02,0.01,3.04,64.78
0.07,0.06,0.03,0.02,3.09,65.88
0.07,0.06,0.05,0.02,3.23,86.9
0.07,0.07,0.05,0.02,3.2,65.3
0.02,0.01,0.01,0.01,3.14,41.23
0.02,0.01,0.01,0.01,3.18,42.39
0.03,0.02,0.01,0.01,3.15,39.24
0.04,0.02,0.01,0.01,3.07,37.91
0.05,0.02,0.01,0.01,3.12,52.76
0.05,0.03,0.02,0.01,3.07,37.07
0.06,0.05,0.02,0.01,2.99,32.59
0.07,0.07,0.05,0.02,3.2,65.3
0.02,0.01,0.01,0.01,3.14,41.23
0.02,0.01,0.01,0.01,3.18,42.39
0.03,0.02,0.01,0.01,3.15,39.24
0.04,0.02,0.01,0.01,3.07,37.91
0.05,0.02,0.01,0.01,3.12,52.76
0.05,0.03,0.02,0.01,3.07,37.07
0.02,0.01,0.01,0.01,3.14,41.23
0.02,0.01,0.01,0.01,3.18,42.39
0.03,0.02,0.01,0.01,3.15,39.24
0.04,0.02,0.01,0.01,3.07,37.91
0.05,0.02,0.01,0.01,3.12,52.76
0.05,0.03,0.02,0.01,3.07,37.07
0.02,0.01,0.01,0.01,3.14,41.23
0.02,0.01,0.01,0.01,3.18,42.39
0.03,0.02,0.01,0.01,3.15,39.24
0.04,0.02,0.01,0.01,3.07,37.91
0.05,0.02,0.01,0.01,3.12,52.76
0.05,0.03,0.02,0.01,3.07,37.07
